date,actual_price,xrp_hybrid_pred
2024-09-24,0.5911,0.5842254914196171
2024-09-25,0.5831,0.5906230144657967
2024-09-26,0.5905,0.5819907664787424
2024-09-27,0.5888,0.5895372285320725
2024-09-28,0.6138,0.5876869468658376
2024-09-29,0.6412,0.6136471305134885
2024-09-30,0.6114,0.6425365553456123
2024-10-01,0.5967,0.6113005202874844
2024-10-02,0.5383,0.5958212136873493
2024-10-03,0.5217,0.5342865729938181
2024-10-04,0.534,0.5163714186260032
2024-10-05,0.5294,0.5287406412371016
2024-10-06,0.5336,0.5239898178535847
2024-10-07,0.5286,0.5285623387788113
2024-10-08,0.531,0.5236298991069415
2024-10-09,0.5245,0.52652936267735
2024-10-10,0.5305,0.5201420722633101
2024-10-11,0.5388,0.5266831639475191
2024-10-12,0.5393,0.535769625558971
2024-10-13,0.5321,0.5366567435094104
2024-10-14,0.5483,0.5294620649083005
2024-10-15,0.5417,0.5464819788545414
2024-10-16,0.5482,0.5397623651920385
2024-10-17,0.5441,0.5469103533828088
2024-10-18,0.5465,0.5428273917534506
2024-10-19,0.544,0.5456723569601576
2024-10-20,0.5482,0.5430781658501597
2024-10-21,0.5449,0.547300963157658
2024-10-22,0.5339,0.5438117575013224
2024-10-23,0.5258,0.5321683162343358
2024-10-24,0.532,0.5235579486695289
2024-10-25,0.5022,0.5298726973918484
2024-10-26,0.5134,0.49874622490632864
2024-10-27,0.5168,0.5102011858769903
2024-10-28,0.5195,0.5137611588220383
2024-10-29,0.5284,0.5167488764810498
2024-10-30,0.5229,0.5262972750028788
2024-10-31,0.5095,0.5206976477590837
2024-11-01,0.5131,0.5068681205901735
2024-11-02,0.5103,0.5106050753332376
2024-11-03,0.503,0.5077852771680338
2024-11-04,0.5035,0.5002224761125937
2024-11-05,0.514,0.5008013323958539
2024-11-06,0.5418,0.5118501368884751
2024-11-07,0.5556,0.5412113001979034
2024-11-08,0.5537,0.5561599480029854
2024-11-09,0.5593,0.5544997249940974
2024-11-10,0.5884,0.5604010588308552
2024-11-11,0.6207,0.5911972354907203
2024-11-12,0.704,0.6252681757559316
2024-11-13,0.6898,0.713719649197663
2024-11-14,0.7736,0.6989431586225637
2024-11-15,0.8922,0.7878378852788535
2024-11-16,1.1209,0.9148563568563148
2024-11-17,1.0543,1.1623969906672935
2024-11-18,1.1137,1.0901612084876293
2024-11-19,1.1003,1.152353713764006
2024-11-20,1.1041,1.134760786501236
2024-11-21,1.247,1.1348616037706372
2024-11-22,1.4726,1.2845148820356231
2024-11-23,1.4685,1.5247394757624755
2024-11-24,1.4331,1.5172200216050205
2024-11-25,1.4142,1.4746829647047115
2024-11-26,1.3984,1.4488591123012893
2024-11-27,1.4696,1.4259836433186601
2024-11-28,1.5421,1.4964131691765323
2024-11-29,1.8006,1.5685514399145102
2024-11-30,1.9513,1.8418991145597563
2024-12-01,2.2937,2.000636913794525
2024-12-02,2.7245,2.3663440714995767
2024-12-03,2.5102,2.8296620404764385
2024-12-04,2.3574,2.596067542923534
2024-12-05,2.2446,2.42286265380995
2024-12-06,2.4257,2.2922085620410586
2024-12-07,2.6099,2.4759571254235553
